#{"t_start": 1735016675.688494, "env_id": "Walker2d-v5"}
r,l,t
642.778156,251,371.022536
679.884675,257,372.458645
678.318281,276,373.657361
797.425218,316,374.861789
579.271399,239,375.76983
691.205613,257,376.751257
715.926479,259,377.741528
498.950089,230,378.664765
1099.535213,392,380.260665
817.282798,303,381.427142
637.330976,228,382.303612
536.490442,225,383.164536
462.084533,198,383.951321
789.06343,298,385.09926
678.265087,251,386.086913
762.349884,288,387.237351
664.229888,269,388.411062
573.633801,241,389.451181
627.890431,265,390.59045
646.510434,276,391.71611
693.152489,290,392.870639
604.599167,267,393.950841
547.031927,238,394.890973
679.518962,291,396.037145
666.010356,281,397.151826
532.239341,236,398.083703
505.033621,213,398.940252
566.545835,245,399.920662
657.358895,261,400.956748
571.924714,253,402.02434
582.217356,228,403.028353
561.567449,228,404.072172
558.073365,237,405.142408
662.749163,286,406.410953
648.858797,266,407.587294
604.237067,257,408.738693
751.337368,328,410.138135
707.993378,255,411.2839
496.328738,219,412.26687
628.7856,253,413.377875
377.029433,166,414.133077
772.494823,302,415.456229
543.121947,218,416.410476
756.208504,286,417.61197
638.265455,237,418.652939
729.865837,297,419.8989
793.739551,310,421.116435
735.18445,271,422.17696
500.719428,200,422.959921
520.503844,246,423.936218
768.091363,280,425.073555
652.80038,251,426.071403
732.654914,288,427.234332
469.051058,190,427.998443
513.420244,205,428.830809
833.302116,297,430.019985
543.061885,225,430.917057
470.458977,219,431.78908
399.750467,173,432.481805
708.987624,244,433.460103
550.058255,232,434.425291
496.116098,232,435.355691
528.350262,241,436.321779
682.160308,253,437.330948
443.853167,223,438.214298
793.08896,308,439.437601
676.117319,261,440.467894
853.775919,302,441.661738
659.407888,263,442.703713
745.282752,282,443.827952
768.662146,272,444.945296
781.412146,306,446.16938
687.361673,268,447.24794
685.194646,235,448.180004
621.310791,232,449.113625
865.786654,361,450.549004
664.006733,243,451.511012
614.626389,230,452.421412
623.281274,240,453.375488
754.755794,323,454.688907
687.552075,269,455.821832
611.880567,237,456.794081
691.99624,278,458.029905
623.415874,229,459.002158
593.818074,208,459.835186
696.158044,246,460.815613
692.053788,256,461.894298
638.052088,261,462.983119
584.165446,245,463.966556
667.727411,217,465.117912
641.041596,254,466.263968
802.189325,297,467.551699
706.633752,259,468.655341
716.300088,248,469.721075
708.012831,324,471.0151
744.75595,276,472.10807
750.313894,299,473.269866
705.284899,277,474.549018
708.633704,247,475.590235
602.731537,250,476.604749
758.241776,285,477.776353
775.897963,283,478.911895
917.079033,1000,482.989036
762.430848,267,484.055837
62.11086,128,484.589842
967.856403,550,486.839851
1029.369683,461,488.8167
59.732875,202,489.643139
845.147537,389,491.258338
918.874473,485,493.307012
82.234179,172,494.016872
499.39651,228,494.936555
824.415563,363,496.428548
190.469164,271,497.527746
820.058938,327,498.850821
82.371992,184,499.58522
863.64394,393,501.191283
664.23041,296,502.368304
988.578122,366,503.845166
1064.730723,412,505.500466
761.918272,307,506.755409
685.952318,313,508.006743
964.904486,389,509.63595
2172.092992,873,513.284254
1327.172626,627,516.234761
829.414435,411,517.924617
995.132257,363,519.393066
1002.978265,453,521.233742
69.385487,151,521.827619
672.110564,323,523.087816
101.728012,180,523.791591
1148.491563,516,525.814972
1290.478094,503,527.811512
713.134112,301,528.993618
681.338096,265,530.061517
940.246153,395,531.636393
693.41172,256,532.653591
625.986154,263,533.696387
807.836318,370,535.175442
705.358363,274,536.275457
599.052993,254,537.293187
866.638061,322,538.570606
698.681497,292,539.728615
717.867838,296,540.906058
830.344064,347,542.295341
879.037385,317,543.547458
663.67169,254,544.550952
973.025695,367,546.007742
82.597058,218,546.886493
850.529,309,548.103897
833.398743,310,549.334654
636.746098,264,550.379891
718.359511,268,551.433552
938.229017,349,552.808677
857.125095,361,554.240107
573.051299,230,555.153622
762.290122,329,556.45451
674.683281,280,557.580852
651.195471,243,558.543494
636.752774,230,559.450457
738.905834,287,560.588447
622.326259,237,561.522731
614.858006,246,562.495681
809.317083,308,563.713997
666.212097,278,564.81126
764.311047,295,565.982065
691.194959,263,567.041607
972.544892,374,568.51992
999.346339,352,569.919048
964.340037,344,571.284794
811.28046,298,572.46533
707.724881,260,573.48948
663.523397,253,574.486819
602.136443,235,575.417624
883.262353,317,576.676147
872.527271,347,578.071949
877.711086,319,579.333083
998.517817,382,580.849919
1113.868349,401,582.434885
968.022109,342,583.786109
875.349405,289,584.926944
648.919366,221,585.8043
1021.493671,363,587.259058
937.584937,338,588.593977
1085.235302,411,590.223878
1258.678912,463,592.04674
814.855017,318,593.302069
1104.820265,405,594.898109
1042.007655,480,596.800375
781.156819,310,598.047648
1085.46565,414,599.723449
1013.819283,377,601.21841
718.512572,290,602.361378
1033.909582,340,603.699984
1142.202165,435,605.419991
999.631336,353,606.810861
1070.270858,381,608.332429
1117.288097,438,610.070185
1175.26564,434,611.787949
1528.648321,629,614.277807
1273.995958,468,616.131815
1133.461948,414,617.783768
1047.242206,411,619.412969
1333.442273,466,621.259951
320.927365,255,622.264936
1225.379004,475,624.137832
1315.311777,485,626.061756
1082.066681,408,627.678155
1569.610996,657,630.317177
1508.42919,626,632.793973
2099.255751,841,636.125262
1130.217317,421,637.789094
1144.450243,416,639.458698
888.450667,322,640.732502
1082.074013,356,642.151126
1326.274763,449,643.927652
1386.537945,457,645.730749
841.591094,300,646.918
1269.503587,424,648.631493
1276.557447,416,650.281696
1137.849481,372,651.754514
1183.343561,411,653.382314
882.53247,355,654.786978
860.294555,328,656.085159
1337.970819,448,657.857961
1504.571972,707,660.686647
1210.073883,386,662.217674
898.613865,307,663.444201
1266.288316,396,665.01471
1330.495673,413,666.644248
761.838719,269,667.710967
1703.891913,612,670.171574
1033.481877,354,671.577672
778.113299,309,672.806019
964.274017,343,674.172452
1166.803346,406,675.781224
1316.042783,439,677.516762
745.685334,290,678.68167
824.694713,350,680.083759
1270.336483,433,681.802049
1165.961508,406,683.420601
1832.293953,565,685.660683
960.665867,299,686.846917
1339.777985,442,688.609755
1275.615295,445,690.399717
1289.062038,467,692.252101
1208.82642,396,693.828684
1395.172745,518,695.878504
824.548178,338,697.214613
1161.031095,450,699.013461
2352.915357,808,702.236983
1026.11592,343,703.603455
2401.8217,935,707.310169
1056.380697,650,709.920129
1385.740382,480,711.834444
387.838745,250,712.829179
1380.813085,485,714.761089
398.815553,228,715.667231
1615.210736,523,717.747251
961.130496,323,719.037874
1433.082151,450,720.851133
458.206929,295,722.029928
2035.782566,756,725.044568
369.82655,275,726.136574
2160.362708,831,729.470756
240.760237,159,730.127344
960.585436,333,731.458825
1957.209481,620,733.956016
1562.139332,570,736.217097
933.665086,382,737.728803
1319.543693,446,739.50863
975.345136,326,740.829286
1489.6144,527,742.928243
1248.429766,517,744.986089
1181.40912,585,747.324979
2724.734687,1000,751.35231
1503.800075,524,753.444884
1311.996988,486,755.380336
811.883702,290,756.542506
911.94124,324,757.836354
1726.106954,576,760.150255
1253.114562,440,761.904934
833.708609,288,763.062874
1793.072197,866,766.512171
1759.162803,556,768.731611
724.822698,275,769.833521
1204.414709,415,771.517572
1414.87297,469,773.385492
799.788081,288,774.539052
1155.81448,388,776.083245
1434.926348,489,778.03455
819.995391,305,779.2592
1284.311319,427,780.984826
856.530941,313,782.236476
848.304824,325,783.537766
1779.739472,588,785.884293
993.948867,345,787.258255
680.155004,321,788.543523
1401.614096,517,790.624061
1217.547956,504,792.653865
1092.432021,422,794.341127
1080.060783,393,795.907846
780.550583,284,797.042526
1362.479038,482,798.96509
780.48973,312,800.207839
1026.058702,380,801.748701
1608.465498,737,804.705808
1096.236296,438,806.455984
1130.668464,412,808.10061
1620.156432,557,810.332334
1117.839407,368,811.827845
1256.109104,433,813.584807
1654.662039,561,815.825992
1492.060399,533,817.943532
829.694122,291,819.134965
1198.266856,428,820.853141
657.946932,267,821.944066
820.199819,309,823.230626
871.446157,309,824.472895
1054.946829,380,825.980784
1344.988151,438,827.711979
1170.542483,424,829.404394
1571.229235,521,831.506081
1339.789075,466,833.372389
941.578429,335,834.712864
1223.692884,438,836.459752
925.434957,344,837.833265
1140.144083,381,839.360576
980.923559,374,840.860026
1022.338279,382,842.41056
1234.949276,447,844.206488
1134.780373,407,845.847728
